name,English_name,character_name,img_url
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Josee,https://cdn.myanimelist.net/images/characters/10/441918.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Josee,https://cdn.myanimelist.net/images/characters/12/447732.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Josee,https://cdn.myanimelist.net/images/characters/9/447733.jpg
Josee to Tora to Sakana-tachi,"Josee, the Tiger and the Fish",Josee,https://cdn.myanimelist.net/images/characters/10/501741.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/4/39616.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/14/61352.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/14/61353.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/3/83615.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/10/89080.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/3/186273.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/9/186283.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/11/310193.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/3/451785.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/12/507574.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/15/510238.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/5/526499.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/6/542483.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/4/572370.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/2/582913.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/15/582914.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/14/582915.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/11/582916.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/16/582917.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hawkeye, Riza",https://cdn.myanimelist.net/images/characters/5/582918.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/14/58067.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/15/62602.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/12/76478.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/16/76480.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/13/79032.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/11/80251.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/13/80252.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Yao, Ling",https://cdn.myanimelist.net/images/characters/11/572385.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/13/24504.jpg
Fullmetal Alchemist: Brotherhood,Unknown,"Hughes, Maes",https://cdn.myanimelist.net/images/characters/13/24505.jpg
